"income","height","weight","age","marital","sex","education","afqt"
19000,60,155,53,"married","female",13,6.841
35000,70,156,51,"married","female",10,49.444
105000,65,195,52,"married","male",16,99.393
40000,63,197,54,"married","female",14,44.022
75000,66,190,49,"married","male",14,59.683
102000,68,200,49,"divorced","female",18,98.798
0,74,225,48,"married","male",16,82.26
70000,64,160,54,"divorced","female",12,50.283
60000,69,162,55,"divorced","male",12,89.669
150000,69,194,54,"divorced","male",13,95.977
115000,64,145,53,"married","female",16,67.021
343830,62,170,51,"married","female",16,88.416
40000,64,145,49,"divorced","female",16,89.167
35000,66,128,52,"married","female",14,51.39
105000,67,177,50,"married","male",16,97.075
16036,62,170,52,"married","female",16,96.674
5200,68,175,52,"married","female",12,25.905
0,64,180,53,"married","female",13,8.528
42000,69,198,49,"married","male",12,NA
0,68,207,50,"single","male",12,NA
53000,70,221,54,"divorced","male",12,6.069
38500,70,162,50,"married","male",12,NA
44000,66,175,54,"married","female",12,56.29
93000,63,151,50,"married","female",12,12.788
62000,72,200,53,"married","male",12,26.851
45000,66,170,52,"married","male",14,38.419
130000,74,236,50,"married","male",16,57.095
45000,72,270,49,"married","male",12,22.326
0,66,250,51,"divorced","female",12,15.325
75000,72,215,53,"married","male",12,75.473
73000,68,230,54,"married","female",14,71.226
55000,65,200,54,"married","female",12,78.742
343830,72,210,54,"divorced","male",14,69.08
0,68,223,49,"single","male",8,43.641
30000,66,148,54,"divorced","female",12,30.83
112,62,120,56,"married","female",17,91.625
45000,69,240,53,"married","male",12,98.841
104000,70,225,51,"married","male",12,82.98
0,66,195,50,"married","female",14,99.15
51000,70,290,48,"divorced","female",14,36.384
165000,71,182,52,"married","male",16,87.934
0,68,220,49,"divorced","male",14,22.649
343830,74,215,54,"married","male",18,93.246
0,70,140,50,"married","female",16,100
145000,74,210,48,"married","male",20,86.703
40000,70,230,51,"divorced","male",18,NA
42000,66,152,52,"single","female",16,80.538
115000,64,115,51,"married","female",16,83.379
70000,73,200,49,"married","male",14,42.78
90000,63,146,48,"single","female",17,96.835
23000,68,145,49,"single","male",19,78.759
0,72,NA,52,"single","male",10,2.366
0,69,238,49,"divorced","male",11,21.008
0,66,170,54,"single","male",10,2.427
22000,61,165,52,"single","female",11,7.198
24000,68,210,49,"single","male",14,12.463
25000,72,200,55,"married","male",16,80.798
120000,71,160,54,"married","male",16,80.298
22000,67,150,49,"married","female",16,22.823
36000,59,215,50,"divorced","female",12,44.375
87000,70,192,48,"divorced","male",12,28.438
44000,68,150,56,"married","male",11,NA
50000,65,150,52,"divorced","female",12,34.573
50000,63,145,51,"married","female",12,36.772
0,67,195,54,"married","female",14,59.411
0,64,175,54,"married","female",13,69.552
35000,65,200,55,"married","female",14,NA
80000,65,130,49,"divorced","female",13,40.421
100000,71,250,54,"divorced","male",16,76.421
54000,67,175,54,"divorced","female",12,81.787
125000,69,200,52,"married","male",16,87.651
54000,69,213,50,"married","male",16,65.347
60000,68,166,54,"married","male",20,96.818
90000,72,185,55,"married","male",13,64.697
40000,62,180,53,"married","female",12,46.195
32000,68,180,49,"widowed","female",12,39.529
50000,70,260,53,"married","male",15,98.349
22000,70,180,55,"single","male",12,27.671
3000,72,260,50,"single","male",16,97.847
60000,64,NA,48,"single","female",16,92.618
75000,73,230,51,"married","male",12,52.132
250,61,120,51,"divorced","female",14,40.114
65000,72,183,54,"married","male",14,67.259
94000,71,200,52,"single","male",16,92.817
0,62,303,50,"married","female",14,57.983
80000,67,205,48,"married","male",13,38.315
0,61,170,55,"single","female",12,5.875
174030,66,150,51,"married","female",16,87.283
0,63,133,49,"married","female",16,88.326
80000,68,198,49,"separated","male",15,79.832
75000,69,180,54,"married","female",17,72.878
65000,64,145,50,"married","female",16,85.861
62000,70,230,53,"married","male",12,NA
14625,65,187,48,"married","female",12,37.874
16000,70,160,50,"single","male",12,62.607
93000,68,182,48,"divorced","male",12,86.932
15600,61,135,51,"married","female",12,22.466
47000,70,225,49,"single","male",12,74.997
114000,66,210,48,"married","female",12,39.973
0,65,140,53,"single","male",12,38.129
114000,64,145,50,"married","female",14,93.332
0,61,180,49,"divorced","female",12,NA
10000,70,208,49,"divorced","male",12,47.003
0,68,190,53,"divorced","male",11,4.975
125000,62,140,50,"married","female",20,43.873
65000,63,156,55,"married","female",18,85.206
80000,67,187,52,"married","female",14,77.44
52000,68,320,51,"married","female",12,47.296
47000,62,130,53,"married","female",12,22.24
50000,66,125,52,"married","female",12,46.506
68000,69,180,51,"married","male",14,58.432
2160,70,200,51,"divorced","male",12,19.981
0,63,190,50,"single","female",12,18.862
114000,70,180,50,"married","male",16,82.207
0,62,312,55,"single","female",9,1.23
65000,60,180,52,"married","female",13,47.279
10000,66,130,55,"divorced","female",14,NA
65000,72,200,54,"married","male",16,77.068
40000,61,135,54,"married","female",12,30.455
85000,71,260,54,"married","male",14,NA
0,70,195,48,"single","male",12,NA
41000,65,135,51,"married","female",16,59.078
56000,72,180,48,"single","male",12,77.155
110000,64,163,53,"separated","female",14,81.515
12000,66,160,53,"separated","female",10,11.983
130000,75,170,54,"single","male",16,59.286
142000,63,170,51,"divorced","female",18,73.636
150000,68,166,49,"married","male",20,89.27
35000,62,130,49,"married","female",16,80.48
130000,70,193,54,"married","male",16,45.527
150000,72,200,54,"married","male",18,87.917
29379,62,150,50,"divorced","female",12,17.107
343830,70,195,49,"married","male",18,64.239
0,67,200,54,"married","male",12,19.225
40000,63,111,54,"married","female",12,27.551
10000,69,205,55,"married","male",16,86.603
13000,73,270,52,"single","male",14,73.184
4400,62,122,55,"married","female",12,17.136
65000,70,NA,49,"married","male",16,59.04
5000,63,115,48,"married","female",16,74.988
50000,72,225,51,"married","male",12,57.814
125000,72,255,48,"married","male",15,79.883
343830,67,165,55,"married","male",16,81.447
124500,64,158,53,"married","female",20,60.012
122000,67,130,51,"divorced","female",19,89.381
4000,61,185,48,"single","female",7,5.315
70000,65,165,49,"married","male",10,9.19
14040,64,264,52,"single","female",12,13.326
26000,64,168,55,"divorced","female",12,6.599
0,63,190,55,"married","female",10,2.739
40000,66,180,49,"separated","female",11,52.042
80000,70,180,48,"single","male",14,34.084
57000,60,140,55,"married","female",12,36.443
35000,69,170,51,"single","male",14,55.78
65000,70,200,48,"married","male",12,31.472
95000,69,247,51,"married","male",10,35.461
1000,68,178,49,"married","male",15,61.313
46800,65,170,51,"married","female",14,71.673
0,65,98,55,"divorced","female",11,64.751
1480,62,225,51,"widowed","female",11,13.294
38000,65,180,50,"married","female",12,50.483
75000,66,175,53,"married","female",12,30.481
99500,72,242,54,"married","male",12,62.957
14000,62,250,55,"married","female",12,73.828
30000,64,135,50,"married","female",14,81.929
130000,71,210,53,"married","male",19,52.544
0,72,240,51,"divorced","male",12,8.261
7500,65,199,49,"married","female",14,45.311
0,62,214,54,"married","female",12,NA
23000,66,185,49,"married","male",12,NA
9250,64,130,48,"married","female",12,NA
25000,68,175,48,"married","male",11,34.745
43000,64,145,51,"divorced","female",12,94.821
10000,64,140,50,"married","female",12,46.148
0,64,132,50,"divorced","female",12,56.308
7000,68,175,48,"divorced","male",12,58.214
0,64,192,54,"separated","female",14,76.189
41000,76,260,54,"married","male",12,56.348
65000,67,185,51,"married","male",16,83.227
102000,71,200,50,"married","male",12,73.36
6000,69,150,50,"married","female",16,96.501
0,68,180,54,"single","male",12,23.365
0,66,165,54,"divorced","male",12,49.643
343830,69,185,53,"married","male",16,83.698
0,67,151,56,"married","female",16,94.116
4200,72,220,53,"married","male",14,64.372
22000,76,290,52,"married","male",13,88.343
63500,65,181,49,"divorced","female",14,72.963
28000,71,187,53,"single","male",12,32.567
130000,75,225,51,"married","male",18,72.769
54000,64,120,49,"separated","female",16,85.4
75500,69,220,54,"divorced","male",11,15.136
100000,65,150,53,"married","male",14,44.708
55000,61,140,51,"married","female",10,15.448
66246,64,185,48,"single","female",14,62.147
28000,67,195,51,"single","female",12,15.312
15000,66,142,50,"single","female",12,28.861
0,65,170,53,"married","female",11,11.136
3000,73,250,53,"single","male",12,42.445
61000,65,141,55,"divorced","female",20,92.223
60000,64,145,53,"married","female",13,91.927
32000,64,155,51,"married","female",12,62.191
15000,61,170,55,"divorced","female",12,68.168
0,66,150,49,"single","male",11,12.439
48000,69,189,51,"married","male",12,18.916
1700,62,186,52,"divorced","male",12,5.281
37000,64,135,49,"divorced","male",12,7.399
13000,67,179,47,"single","male",11,11.63
40000,70,230,52,"single","male",12,27.277
15000,63,160,55,"married","female",12,48.032
0,71,175,51,"divorced","male",12,10.489
31000,70,165,52,"married","male",12,18.491
30000,73,195,48,"divorced","male",12,24.685
50000,64,260,50,"divorced","female",16,52.017
42000,67,167,49,"married","male",11,30.794
80000,65,145,53,"married","female",14,NA
49817,73,215,53,"married","male",16,78.739
150000,69,190,52,"married","male",15,68.032
42000,64,128,55,"married","female",16,23.404
12000,72,210,53,"married","male",12,65.825
0,70,180,50,"single","male",9,10.373
0,64,200,51,"single","male",12,3.428
0,70,258,48,"divorced","male",10,33.426
95000,69,220,55,"married","female",12,31.724
22000,65,197,55,"separated","female",15,62.746
25000,69,165,49,"divorced","male",12,25.563
25000,60,120,51,"single","female",11,14.391
11000,62,145,49,"married","female",15,20.415
107000,70,175,49,"married","male",18,95.123
27000,60,145,54,"separated","female",10,0.738
12000,62,135,53,"married","female",17,95.959
170000,68,200,50,"divorced","male",16,43.221
42000,69,218,50,"married","male",16,47.18
0,73,160,53,"married","male",14,19.021
0,64,198,51,"married","female",14,40.321
11000,63,160,55,"married","female",12,65.997
127000,64,175,48,"married","male",13,55.481
70000,67,155,50,"married","male",12,41.794
123000,68,200,54,"married","male",16,68.746
150000,72,214,51,"married","male",16,28.374
800,62,112,51,"married","female",18,80.272
45000,71,169,55,"single","male",12,19.625
1500,65,120,51,"divorced","female",12,29.278
90800,75,225,53,"married","male",16,87.76
20000,67,170,50,"married","female",14,51.397
52000,69,210,53,"single","female",16,76.624
58000,64,295,54,"single","female",18,72.481
35000,65,126,54,"married","female",16,91.042
40000,67,NA,52,"married","female",16,89.893
30000,60,150,54,"married","female",12,11.771
80000,66,180,51,"divorced","male",18,83.17
0,66,150,54,"single","male",11,32.899
0,67,165,51,"separated","male",11,22.233
0,62,180,48,"divorced","female",9,13.26
0,73,260,55,"separated","male",11,10.471
115000,74,225,54,"single","male",12,49.149
28800,60,147,53,"divorced","female",12,11.672
46000,62,148,51,"married","female",12,39.687
0,73,160,49,"single","male",12,5.552
70000,61,240,50,"single","female",15,78.241
54000,66,160,49,"divorced","female",12,23.959
52000,72,230,52,"married","male",12,93.142
78000,71,232,50,"married","male",14,76.768
700,71,170,52,"single","male",11,6.294
10000,62,157,50,"divorced","female",14,43.91
0,76,230,49,"divorced","male",11,19.013
0,72,320,54,"single","male",10,17.477
75000,64,160,55,"divorced","female",17,66.314
69000,65,140,51,"married","female",16,100
19000,62,185,51,"married","female",12,24.833
21000,64,125,54,"married","female",12,24.406
0,72,230,56,"married","male",7,3.253
35000,60,115,53,"married","female",14,16.239
14000,65,155,49,"married","male",14,43.726
101000,65,140,49,"married","female",18,45.758
76000,74,220,51,"married","male",12,85.102
140000,70,185,54,"married","male",16,90.513
32000,71,260,51,"married","male",12,68.615
0,72,200,49,"divorced","male",10,18.169
25000,62,120,48,"married","female",14,73.351
68000,70,210,50,"married","male",10,9.537
0,66,150,55,"married","female",18,53.109
60000,72,205,52,"married","male",13,55.338
13500,67,170,49,"married","female",13,60.767
34500,67,200,49,"divorced","male",12,48.516
35000,67,160,48,"married","male",16,66.045
30000,67,183,54,"married","male",19,99.379
