,0,1,2,3,4,5,6,contribs,ppv
2,3,Amanda Palmer is creating Art (amandapalmer),"9,416","$36,410.40 per thing",$3.87 per thing,795,Mar 2015,9416.0,36410.4
9,10,CGP Grey is creating Youtube videos (cgpgrey),"7,203","$18,475.30 per Video",$2.56 per Video,1029,Jul 2014,7203.0,18475.3
27,28,Every Frame a Painting is creating Video Essays (everyframeapainting),"4,309","$7,669.19 per video",$1.78 per video,976,Sep 2014,4309.0,7669.19
37,38,Pentatonix is creating Music Videos (pentatonix),"3,793","$19,377.70 per Music Video",$5.11 per Music Video,1168,Feb 2014,3793.0,19377.7
38,39,Home Free is creating music videos (homefree),"3,766","$26,807.20 per video",$7.12 per video,1061,Jun 2014,3766.0,26807.2
44,45,Peter Hollens is creating Music Videos (peterhollens),"3,415","$11,737.80 per music video",$3.44 per music video,1459,May 2013,3415.0,11737.8
49,50,Knitty is creating a Knitting Magazine (knitty),"3,253","$19,555.10 per new issue",$6.01 per new issue,613,Aug 2015,3253.0,19555.1
54,55,The Nintendo Force is creating Magazines & Posters (NintendoForce),"3,142","$15,046.00 per issue",$4.79 per issue,478,Jan 2016,3142.0,15046.0
60,61,Leo Moracchioli is creating MUSIC COVERS ON YOUTUBE (frogleapstudios),"2,944","$3,731.28 per video",$1.27 per video,928,Oct 2014,2944.0,3731.28
71,72,Four Chambers is creating films / photos / art (fourchambers),"2,601","$21,933.60 per video",$8.43 per video,950,Sep 2014,2601.0,21933.6
75,76,The Nerdwriter is creating video essays (nerdwriter),"2,418","$3,868.96 per video",$1.60 per video,894,Nov 2014,2418.0,3868.96
78,79,Primitive Technology is creating Video,"2,345","$5,336.78 per Videos of primitive technology projects",$2.28 per Videos of primitive technology projects,434,Feb 2016,2345.0,5336.78
86,87,dodie is creating Music and Videos! (doddleoddle),"2,189","$2,346.83 per YouTube Music Video",$1.07 per YouTube Music Video,1452,May 2013,2189.0,2346.83
93,94,Hello Internet is creating Podcasts (hellointernet),"1,941","$3,041.08 per Podcast episode",$1.57 per Podcast episode,921,Oct 2014,1941.0,3041.08
97,98,Taylor Ray Holbrook is creating A Journey (TaylorRay),"1,905","$16,175.70 per Piece Of Work (POW)",$8.49 per Piece Of Work (POW),498,Dec 2015,1905.0,16175.7
115,115,Game Maker's Toolkit is creating videos on game design (GameMakersToolkit),"1,718","$4,402.15 per episode of GMTK",$2.56 per episode of GMTK,779,Mar 2015,1718.0,4402.15
117,117,Pomplamoose is creating music videos (pomplamoose),"1,711","$5,052.87 per video",$2.95 per video,1460,May 2013,1711.0,5052.87
119,119,Cordkillers is creating weekly episodes (cordkillers),"1,700","$1,497.68 per episode",$0.88 per episode,1235,Dec 2013,1700.0,1497.68
130,130,Ethan and Hila Klein is creating Comedy (h3h3productions),"1,627","$3,607.84 per THIS PATREON IS NO LONGER ACTIVE, YOU WILL NOT BE CHARGED.","$2.22 per THIS PATREON IS NO LONGER ACTIVE, YOU WILL NOT BE CHARGED.",840,Jan 2015,1627.0,3607.84
132,132,Veritasium is creating Science Videos (veritasium),"1,606","$3,800.69 per Video",$2.37 per Video,1458,May 2013,1606.0,3800.69
138,138,God Awful Movies is creating Podcasts (GodAwful),"1,555","$2,304.16 per Episode",$1.48 per Episode,639,Aug 2015,1555.0,2304.16
139,139,The Scathing Atheist is creating Podcasts (ScathingAtheist),"1,548","$2,698.68 per episode",$1.74 per episode,1149,Mar 2014,1548.0,2698.68
147,147,Limited Resources is creating Podcasts (limitedresources),"1,509","$2,484.94 per podcast released.",$1.65 per podcast released.,1217,Jan 2014,1509.0,2484.94
156,156,Sailing La Vagabonde is creating an adventurous voyage around the globe (LaVagabonde),"1,465","$8,910.89 per video episode",$6.08 per video episode,842,Jan 2015,1465.0,8910.89
158,158,"Night Attack is creating awesome bullshit, every week (nightattack)","1,457","$1,700.32 per tuesday night shenanigan",$1.17 per tuesday night shenanigan,1173,Feb 2014,1457.0,1700.32
159,159,MinuteEarth is creating YouTube Videos (minuteearth),"1,449","$3,304.82 per video",$2.28 per video,960,Sep 2014,1449.0,3304.82
164,164,Cognitive Dissonance Podcast is creating Podcasts (dissonancepod),"1,440","$1,973.11 per Podcast",$1.37 per Podcast,1176,Feb 2014,1440.0,1973.11
171,171,Chaseontwowheels is creating the Wrecked Bike Rebuild Series - Season 1 - 2009 Ducati Monster (chaseontwowheels),"1,411","$4,672.92 per Per Episode",$3.31 per Per Episode,102,Jan 2017,1411.0,4672.92
